day,ticker,rk,nbar,open0,g40,g45,g50,g00,pos40,pos50,pos00,traj,g_early,g_late,accel,vwap_dist,mins_since_hi,dd_from_hi,pullbacks,diff45,diff00,widen,dvol_acc,fwd,hit,fade,last_tod,nwbars,_b,_dd
2025-05-29,NTCL,2,171,3.0,0.0999999999999998,0.1699999999999999,0.1966666666666665,0.2199999999999999,1.0,2.0,2.0,stable,0.1699999999999999,0.0427350427350428,-0.1272649572649571,0.0572675129581734,6,-0.0213903743315507,0,-0.0046724890829694,-0.1424454148471616,-0.1377729257641922,-0.0510403992806909,-0.0792349726775956,0,1,1199,29,T3-hi,2-5%
2025-05-29,SBET,3,314,38.15,0.0854521625163826,0.1195281782437747,0.1577981651376148,0.2052424639580603,2.0,3.0,3.0,stable,0.1195281782437747,0.0765628658393817,-0.0429653124043929,0.0411767899898491,5,-0.0470466321243524,0,-0.0551443108391946,-0.1572029508891013,-0.1020586400499066,1.7031797411730183,0.7757720748151373,1,0,1199,31,T3-hi,2-5%
2025-05-29,IMCC,4,191,2.955,0.0,0.0016920473773265,0.1032148900169203,0.1032148900169203,41.0,4.0,4.0,rising,0.0016920473773265,0.1013513513513513,0.0996593039740247,0.0269260655519183,13,0.0,1,-0.1729804417056428,-0.2592305248302413,-0.0862500831245984,29.684277357287414,0.5122699386503067,1,0,1199,9,T1-lo,0-2%
2025-05-29,TNGX,5,297,2.19,0.0456621004566211,0.0616438356164383,0.0753424657534247,0.0867579908675799,3.0,6.0,5.0,stable,0.0616438356164383,0.0236559139784944,-0.0379879216379439,0.0281653837724773,3,-0.0083333333333333,0,-0.113028653466531,-0.2756874239795817,-0.1626587705130506,-0.0740616574697141,-0.0231092436974789,0,1,1199,31,T2-mid,0-2%
2025-06-03,CATX,1,306,2.8,0.0267857142857144,0.0375,0.0464285714285714,0.1035714285714286,6.0,4.0,1.0,rising,0.0375,0.0636833046471601,0.02618330464716,0.0473065823750242,0,0.0,0,-0.0257142857142855,0.0132488479262673,0.0389631336405529,0.3449030203440266,0.0097087378640776,0,0,1199,30,T1-lo,0-2%
2025-06-03,QVCGP,2,119,4.65,-0.0344086021505376,-0.0247311827956989,-0.0107526881720431,0.0903225806451613,49.0,50.0,2.0,rising,-0.0247311827956989,0.1179713340683572,0.1427025168640562,0.0727426543827671,5,-0.0058823529411763,1,-0.0879454685099846,-0.0132488479262673,0.0746966205837172,0.3987196212437296,-0.0069033530571992,0,1,1199,18,T1-lo,0-2%
2025-06-03,CLBR,3,286,14.0,0.01,0.0632142857142856,0.0571428571428571,0.0860714285714285,23.0,1.0,3.0,rising,0.0632142857142856,0.0214981525025192,-0.0417161332117663,0.0561918857125871,3,-0.0029508196721311,0,0.0046413357675338,-0.0175,-0.0221413357675339,-0.6831669839962632,0.0332127589608681,1,0,1199,31,T2-mid,0-2%
2025-06-03,RSLS,4,330,5.56,0.0269784172661871,0.0341726618705036,0.0431654676258992,0.0827338129496402,5.0,7.0,4.0,stable,0.0341726618705036,0.0469565217391303,0.0127838598686267,0.0391045187533785,0,-0.0243111831442464,3,-0.029041623843782,-0.0208376156217884,0.0082040082219936,0.3140286774429814,0.1187707641196014,1,0,1199,31,T1-lo,2-5%
2025-06-03,CRNC,5,284,9.375,0.0133333333333334,0.0175999999999998,0.0250666666666665,0.0816000000000001,17.0,17.0,5.0,rising,0.0175999999999998,0.0628930817610065,0.0452930817610066,0.0406530533838469,0,0.0,0,-0.0456142857142858,-0.0219714285714285,0.0236428571428573,1.4072235533580877,0.0019723865877712,0,0,1199,30,T1-lo,0-2%
2025-06-16,SRM,1,330,4.96,0.0887096774193549,0.1391129032258065,0.1633064516129032,0.2419354838709677,2.0,1.0,1.0,stable,0.1391129032258065,0.0902654867256635,-0.0488474165001429,0.0704042077320776,1,-0.0419906687402799,1,0.0463592800374006,0.1486021505376344,0.1022428705002338,0.1857352871242239,0.4870129870129869,1,0,1199,31,T3-hi,2-5%
